task_id,task_name,approach,system_tokens,user_prompt_tokens,input_tokens,output_tokens,total_tokens,estimated_cost_usd,generation_ms,llm_calls
T1,task-list,afs-ui,460,1072,1532,89,1621,0.005931,0.04,0
T1,task-list,afs-markdown,210,1072,1282,189,1471,0.006681,0.02,1
T1,task-list,baseline-skills,305,1072,1377,758,2135,0.015501,0.02,1
T2,task-detail,afs-ui,460,138,598,232,830,0.005274,0.03,0
T2,task-detail,afs-markdown,210,138,348,83,431,0.002289,0.01,1
T2,task-detail,baseline-skills,305,138,443,460,903,0.008229,0.01,1
T3,create-form,afs-ui,460,55,515,129,644,0.003480,0.01,0
T3,create-form,afs-markdown,210,55,265,50,315,0.001545,0.00,1
T3,create-form,baseline-skills,305,55,360,569,929,0.009615,0.01,1
T4,incremental-update,afs-ui,460,1086,1546,57,1603,0.005493,0.00,0
T4,incremental-update,afs-markdown,210,1086,1296,198,1494,0.006858,0.00,1
T4,incremental-update,baseline-skills,305,1086,1391,758,2149,0.015543,0.01,1
T5,view-switching,afs-ui,460,1077,1537,89,1626,0.005946,0.00,0
T5,view-switching,afs-markdown,210,1077,1287,467,1754,0.010866,0.01,3
T5,view-switching,baseline-skills,305,1077,1382,2634,4016,0.043656,0.02,3
T6,search-filter,afs-ui,460,1077,1537,147,1684,0.006816,0.00,0
T6,search-filter,afs-markdown,210,1077,1287,120,1407,0.005661,0.02,1
T6,search-filter,baseline-skills,305,1077,1382,888,2270,0.017466,0.01,1
T7,multi-step-wizard,afs-ui,460,156,616,161,777,0.004263,0.01,0
T7,multi-step-wizard,afs-markdown,210,156,366,90,456,0.002448,0.00,1
T7,multi-step-wizard,baseline-skills,305,156,461,1024,1485,0.016743,0.01,1
T8,dashboard,afs-ui,460,1545,2005,307,2312,0.010620,0.02,0
T8,dashboard,afs-markdown,210,1545,1755,187,1942,0.008070,0.00,1
T8,dashboard,baseline-skills,305,1545,1850,889,2739,0.018885,0.01,1
T9,data-table-crud,afs-ui,460,1106,1566,261,1827,0.008613,0.01,0
T9,data-table-crud,afs-markdown,210,1106,1316,227,1543,0.007353,0.00,1
T9,data-table-crud,baseline-skills,305,1106,1411,1446,2857,0.025923,0.01,1
T10,chat-feed,afs-ui,460,481,941,117,1058,0.004578,0.00,0
T10,chat-feed,afs-markdown,210,481,691,314,1005,0.006783,0.00,1
T10,chat-feed,baseline-skills,305,481,786,1399,2185,0.023343,0.01,1
T10b,chat-new-msg,afs-ui,460,79,539,48,587,0.002337,0.01,0
T10b,chat-new-msg,afs-markdown,210,524,734,314,1048,0.006912,0.01,1
T10b,chat-new-msg,baseline-skills,305,524,829,1399,2228,0.023472,0.01,1
